Date,Time,Blend,Evn,Agtron Converted
21.04.05,10:04,SUL,10,49
21.04.19,9:59,SUL,10,49
21.06.01,13:55,ESP,11,52
21.06.01,14:28,ESP,10,49
21.06.01,12:24,ESP,8.3,44
21.06.01,13:19,ESP,11.3,53
21.06.01,13:00,ESP,10.6,51
21.04.05,13:19,ESP,12,55
21.04.05,13:36,ESP,11,52
21.04.05,13:53,ESP,11,52
21.04.05,14:11,ESP,12,55
21.04.05,14:29,ESP,12.5,56
21.04.05,14:46,ESP,13,58
21.04.05,15:04,ESP,12,55
21.04.05,15:22,ESP,12,55
21.04.12,15:26,ESP,12,55
21.04.12,16:04,ESP,11,52
21.04.13,9:51,ESP,11,52
21.04.13,10:07,ESP,12,55
21.04.13,11:24,ESP,11,52
21.04.13,11:42,ESP,12,55
21.04.13,11:58,ESP,11,52
21.04.13,12:16,ESP,11,52
21.05.17,14:13,ESP,9.6,48
21.05.17,13:15,ESP,9.3,47
21.05.17,11:57,ESP,10.3,50
21.05.17,14:30,ESP,10.3,50
21.05.17,13:35,ESP,10.3,50
21.05.17,12:16,ESP,9.6,48
21.05.17,13:55,ESP,9.6,48
21.06.02,14:16,ESP,9.3,47
21.06.02,14:55,ESP,10,49
21.06.01,13:37,ESP,10.6,51
21.04.06,13:03,OF,4,32
21.04.06,13:23,OF,5,35
21.04.06,13:42,OF,4,32
21.04.06,14:01,OF,6,36
21.04.12,15:45,OF,4,32
21.04.13,11:03,OF,3,29
21.04.13,12:52,OF,5,35
21.04.13,13:13,OF,6,36
21.04.13,13:30,OF,6.5,38
21.05.18,10:57,OF,4.3,33
21.05.18,13:54,OF,6.6,39
21.05.18,14:14,OF,6.3,38
21.05.18,13:34,OF,6.3,38
21.05.18,14:34,OF,4.6,34
21.05.18,14:52,OF,5.3,36
21.06.02,15:37,OF,3.3,30
21.06.01,7:14,OF,5.3,36
21.06.02,15:12,OF,4.3,33
21.06.02,14:27,OF,5.6,36
21.06.02,15:29,OF,5.3,36
21.06.01,14:54,OF,6,37
21.06.02,15:43,OF,6.3,38
21.04.12,11:43,YIRG,11.5,53
21.05.18,11:18,YIRG,10,49
21.06.01,9:53,YIRG,12,55
21.04.05,10:40,ETH NAT,15,64
21.04.05,10:57,ETH NAT,15,64
21.04.12,10:53,ETH NAT,14,61
21.04.19,11:01,ETH NAT,15,64
21.05.18,12:00,ETH NAT,15,64
21.06.01,10:06,ETH NAT,15.3,65
21.04.05,15:40,SUM,13.5,59
21.04.12,13:21,SUM,13,58
21.04.12,13:38,SUM,13,58
21.04.19,10:15,SUM,11,52
21.05.17,10:27,SUM,8.6,45
21.05.17,15:28,SUM,8.6,45
21.06.02,15:52,SUM,8,43
21.04.05,9:50,OP,11.5,53.5
21.04.06,9:16,OP,9,46
21.04.12,13:04,OP,14,61
21.05.17,16:04,OP,10.6,51
21.06.01,16:12,OP,13.6,57
21.06.01,15:54,OP,13,58
21.04.05,12:05,SJP,11.3,53
21.04.05,13:20,SJP,11.5,53
21.04.12,12:28,SJP,13,58
21.04.12,12:46,SJP,12,55
21.05.17,15:45,SJP,11.5,53
21.06.01,15:36,SJP,11,52
21.04.05,10:20,JAVA,11,52
21.04.12,10:37,JAVA,9,46
21.04.19,10:30,JAVA,9,46
21.05.17,9:57,JAVA,10,49
21.06.01,10:40,JAVA,10.6,48
21.04.05,11:15,DRAGON,10.5,51
21.04.05,11:32,DRAGON,11,52
21.04.12,11:10,DRAGON,10,49
21.04.12,11:26,DRAGON,10,49
21.04.12,12:11,DRAGON,10,49
21.04.19,11:18,DRAGON,11,52
21.04.19,11:35,DRAGON,10,49
21.05.18,10:07,DRAGON,9.3,47
21.06.01,11:14,DRAGON,10.6,48
21.04.12,10:23,AB,11,52
21.04.19,10:47,AB,11,52
21.05.17,11:00,AB,13,57
21.05.17,11:20,AB,11,52
21.06.01,11:49,AB,12.3,56
21.06.01,11:33,AB,12.3,56
21.04.05,16:00,IT,7,40
21.04.05,16:20,IT,5,35
21.04.05,16:42,IT,6,37
21.04.06,11:34,IT,5,35
21.04.12,14:49,IT,5.5,36
21.04.12,15:07,IT,6,37
21.04.13,12:35,IT,6,37
21.05.17,12:35,IT,4.6,34
21.05.17,11:37,IT,5.3,36
21.05.18,12:55,IT,5,35
21.06.02,13:55,IT,7,40
21.06.01,14:44,IT,5.6,34
21.06.01,14:35,IT,5.3,36
21.06.02,14:44,IT,6,37
21.04.06,11:15,OFD,3,29
21.04.06,11:54,OFD,3,30
21.04.12,13:57,OFD,4,32
21.04.12,14:14,OFD,5,35
21.04.12,14:32,OFD,4,32
21.05.18,11:56,OFD,2.3,27
21.06.02,14:27,OFD,2.3,27
21.06.02,13:39,OFD,2.6,27
21.06.02,14:15,OFD,4.3,33
21.06.01,9:38,CONGO,12,55
21.04.05,12:38,MYSTERY (AB2),10,49
21.04.05,12:56,MYSTERY (AB2),11,52
21.04.12,16:22,MYSTERY (AB2),11,52
21.04.13,10:24,MYSTERY (AB2),11,52
21.05.17,15:06,MYSTERY (AB2),10,49
21.05.17,14:47,MYSTERY (AB2),10,49
21.06.02,15:44,MYSTERY (AB2),9.3,47
21.06.02,15:02,MYSTERY (AB2),9,46
21.06.02,15:08,MYSTERY (AB2),9,46
21.06.02,12:02,MYSTERY (AB2),9,46
21.04.12,10:08,COLUMBIA,9,46
21.04.19,9:43,COLUMBIA,9,46
21.05.17,10:11,COLUMBIA,9,46